timestamp_utc,ai_response_latency_ms,auth_session_health,signal_generation_count,blocked_signal_reason_count,duplicate_prevention_check,order_execution_count
2026-04-17T05:31:45.344840+00:00,6.52,ok,0,1,passed,0
2026-04-17T05:36:45.592941+00:00,3.17,ok,0,1,passed,0
2026-04-17T05:41:45.798466+00:00,3.02,ok,0,1,passed,0
2026-04-17T05:46:46.004600+00:00,3.25,ok,0,1,passed,0
2026-04-17T05:51:46.210900+00:00,3.04,ok,0,1,passed,0
2026-04-17T05:56:46.417001+00:00,3.26,ok,0,1,passed,0
2026-04-17T06:01:46.619762+00:00,3.01,ok,0,1,passed,0
2026-04-17T06:06:46.826240+00:00,3.19,ok,0,1,passed,0
2026-04-17T06:11:47.033687+00:00,3.27,ok,0,1,passed,0
2026-04-17T06:16:47.239216+00:00,3.33,ok,0,1,passed,0
2026-04-17T06:21:47.448829+00:00,3.13,ok,0,1,passed,0
2026-04-17T06:26:47.656056+00:00,3.28,ok,0,1,passed,0
2026-04-17T06:31:47.858806+00:00,3.57,ok,0,1,passed,0
2026-04-17T06:36:48.056399+00:00,3.15,ok,0,1,passed,0
2026-04-17T06:41:48.257480+00:00,3.43,ok,0,1,passed,0
2026-04-17T06:46:48.463400+00:00,3.01,ok,0,1,passed,0
2026-04-17T06:51:48.658235+00:00,3.23,ok,0,1,passed,0
2026-04-17T06:56:48.853535+00:00,3.31,ok,0,1,passed,0
2026-04-17T07:01:49.067256+00:00,3.28,ok,0,1,passed,0
2026-04-17T07:06:49.272167+00:00,3.46,ok,0,1,passed,0
2026-04-17T07:11:49.478616+00:00,3.32,ok,0,1,passed,0
2026-04-17T07:16:49.686233+00:00,3.24,ok,0,1,passed,0
2026-04-17T07:21:49.892041+00:00,3.41,ok,0,1,passed,0
2026-04-17T07:26:50.101071+00:00,3.01,ok,0,1,passed,0
