timestamp_utc,ai_response_latency_ms,auth_session_health,signal_generation_count,blocked_signal_reason_count,duplicate_prevention_check,order_execution_count
2026-04-16T17:56:17.406917+00:00,3.36,degraded,0,1,passed,0
2026-04-16T18:01:17.610265+00:00,3.32,degraded,0,1,passed,0
2026-04-16T18:06:17.812275+00:00,3.21,degraded,0,1,passed,0
2026-04-16T18:11:18.025317+00:00,3.29,degraded,0,1,passed,0
2026-04-16T18:16:18.237996+00:00,3.02,degraded,0,1,passed,0
2026-04-16T18:21:18.448433+00:00,3.2,degraded,0,1,passed,0
2026-04-16T18:26:18.658641+00:00,3.32,degraded,0,1,passed,0
2026-04-16T18:31:18.867145+00:00,3.43,degraded,0,1,passed,0
2026-04-16T18:36:19.061093+00:00,3.2,degraded,0,1,passed,0
2026-04-16T18:41:19.267163+00:00,3.09,degraded,0,1,passed,0
2026-04-16T18:46:19.478060+00:00,3.27,degraded,0,1,passed,0
2026-04-16T18:51:19.689889+00:00,3.21,degraded,0,1,passed,0
2026-04-16T18:56:19.897708+00:00,3.11,degraded,0,1,passed,0
2026-04-16T19:01:20.097938+00:00,3.08,degraded,0,1,passed,0
2026-04-16T19:06:20.308013+00:00,3.08,degraded,0,1,passed,0
2026-04-16T19:11:20.515799+00:00,3.21,degraded,0,1,passed,0
2026-04-16T19:16:20.722868+00:00,3.12,degraded,0,1,passed,0
2026-04-16T19:21:20.926073+00:00,3.23,degraded,0,1,passed,0
2026-04-16T19:26:21.137508+00:00,3.25,degraded,0,1,passed,0
2026-04-16T19:31:21.342058+00:00,3.32,degraded,0,1,passed,0
2026-04-16T19:36:21.526739+00:00,3.34,degraded,0,1,passed,0
2026-04-16T19:41:21.740765+00:00,3.28,degraded,0,1,passed,0
2026-04-16T19:46:21.951709+00:00,3.42,degraded,0,1,passed,0
2026-04-16T19:51:22.156577+00:00,3.13,degraded,0,1,passed,0
2026-04-16T19:56:22.367147+00:00,3.53,degraded,0,1,passed,0
2026-04-16T20:01:22.576917+00:00,3.16,degraded,0,1,passed,0
2026-04-16T20:06:22.787414+00:00,2.99,degraded,0,1,passed,0
2026-04-16T20:11:22.993246+00:00,3.2,degraded,0,1,passed,0
2026-04-16T20:16:23.180898+00:00,3.24,degraded,0,1,passed,0
2026-04-16T20:21:23.383133+00:00,3.19,degraded,0,1,passed,0
2026-04-16T20:26:23.588611+00:00,3.32,degraded,0,1,passed,0
2026-04-16T20:31:23.795310+00:00,3.42,degraded,0,1,passed,0
2026-04-16T20:36:23.996775+00:00,3.3,degraded,0,1,passed,0
2026-04-16T20:41:24.216501+00:00,3.16,degraded,0,1,passed,0
2026-04-16T20:46:24.428371+00:00,3.33,degraded,0,1,passed,0
2026-04-16T20:51:24.640710+00:00,3.42,degraded,0,1,passed,0
2026-04-16T20:56:24.853896+00:00,3.16,degraded,0,1,passed,0
2026-04-16T21:01:25.061903+00:00,3.36,degraded,0,1,passed,0
2026-04-16T21:06:25.272770+00:00,3.31,degraded,0,1,passed,0
2026-04-16T21:11:25.482648+00:00,3.28,degraded,0,1,passed,0
2026-04-16T21:16:25.695819+00:00,3.14,degraded,0,1,passed,0
2026-04-16T21:21:25.906194+00:00,3.46,degraded,0,1,passed,0
2026-04-16T21:26:26.118517+00:00,3.25,degraded,0,1,passed,0
2026-04-16T21:31:26.329364+00:00,3.45,degraded,0,1,passed,0
2026-04-16T21:36:26.528051+00:00,3.11,degraded,0,1,passed,0
2026-04-16T21:41:26.739689+00:00,3.48,degraded,0,1,passed,0
2026-04-16T21:46:26.952905+00:00,3.27,degraded,0,1,passed,0
2026-04-16T21:51:27.164592+00:00,3.12,degraded,0,1,passed,0
2026-04-16T21:56:27.377067+00:00,3.27,degraded,0,1,passed,0
2026-04-16T22:01:27.589131+00:00,3.25,degraded,0,1,passed,0
2026-04-16T22:06:27.792794+00:00,3.18,degraded,0,1,passed,0
2026-04-16T22:11:27.988600+00:00,3.31,degraded,0,1,passed,0
2026-04-16T22:16:28.201369+00:00,3.13,degraded,0,1,passed,0
2026-04-16T22:21:28.407620+00:00,3.06,degraded,0,1,passed,0
2026-04-16T22:26:28.617612+00:00,3.16,degraded,0,1,passed,0
2026-04-16T22:31:28.828048+00:00,3.37,degraded,0,1,passed,0
2026-04-16T22:36:29.041056+00:00,3.33,degraded,0,1,passed,0
2026-04-16T22:41:29.235907+00:00,3.08,degraded,0,1,passed,0
2026-04-16T22:46:29.443725+00:00,3.22,degraded,0,1,passed,0
2026-04-16T22:51:29.655145+00:00,3.24,degraded,0,1,passed,0
2026-04-16T22:56:29.864159+00:00,3.26,degraded,0,1,passed,0
2026-04-16T23:01:30.074414+00:00,3.37,degraded,0,1,passed,0
2026-04-16T23:06:30.288584+00:00,3.16,degraded,0,1,passed,0
2026-04-16T23:11:30.500281+00:00,3.33,degraded,0,1,passed,0
2026-04-16T23:16:30.709955+00:00,3.21,degraded,0,1,passed,0
2026-04-16T23:21:30.915693+00:00,3.16,degraded,0,1,passed,0
2026-04-16T23:26:31.125729+00:00,3.14,degraded,0,1,passed,0
2026-04-16T23:31:31.334969+00:00,3.07,degraded,0,1,passed,0
2026-04-16T23:36:31.546118+00:00,3.22,degraded,0,1,passed,0
2026-04-16T23:41:31.751369+00:00,3.17,degraded,0,1,passed,0
2026-04-16T23:46:31.959214+00:00,3.2,degraded,0,1,passed,0
2026-04-16T23:51:32.152328+00:00,3.5,degraded,0,1,passed,0
2026-04-16T23:56:32.362360+00:00,3.42,degraded,0,1,passed,0
2026-04-17T00:01:32.570719+00:00,3.25,degraded,0,1,passed,0
2026-04-17T00:06:32.778595+00:00,3.3,degraded,0,1,passed,0
2026-04-17T00:11:32.991743+00:00,3.11,degraded,0,1,passed,0
2026-04-17T00:16:33.201819+00:00,3.13,degraded,0,1,passed,0
2026-04-17T00:21:33.385916+00:00,3.11,degraded,0,1,passed,0
2026-04-17T00:26:33.577895+00:00,3.3,degraded,0,1,passed,0
2026-04-17T00:31:33.763720+00:00,3.42,degraded,0,1,passed,0
2026-04-17T00:36:33.977106+00:00,3.19,degraded,0,1,passed,0
2026-04-17T00:41:34.186945+00:00,3.02,degraded,0,1,passed,0
2026-04-17T00:46:34.398406+00:00,3.17,degraded,0,1,passed,0
2026-04-17T00:51:34.610970+00:00,3.11,degraded,0,1,passed,0
2026-04-17T00:56:34.808482+00:00,3.25,degraded,0,1,passed,0
2026-04-17T01:01:35.021352+00:00,3.27,degraded,0,1,passed,0
2026-04-17T01:06:35.224928+00:00,3.17,degraded,0,1,passed,0
2026-04-17T01:11:35.435136+00:00,3.2,degraded,0,1,passed,0
2026-04-17T01:16:35.647113+00:00,3.55,degraded,0,1,passed,0
2026-04-17T01:21:35.860252+00:00,3.6,degraded,0,1,passed,0
2026-04-17T01:26:36.077306+00:00,3.38,degraded,0,1,passed,0
2026-04-17T01:31:36.288462+00:00,3.5,degraded,0,1,passed,0
2026-04-17T01:36:36.504127+00:00,3.32,degraded,0,1,passed,0
2026-04-17T01:41:36.715843+00:00,3.22,degraded,0,1,passed,0
2026-04-17T01:46:36.922669+00:00,3.34,degraded,0,1,passed,0
2026-04-17T01:51:37.129894+00:00,3.12,degraded,0,1,passed,0
2026-04-17T01:56:37.342446+00:00,3.33,degraded,0,1,passed,0
2026-04-17T02:01:37.550397+00:00,3.23,degraded,0,1,passed,0
2026-04-17T02:06:37.754298+00:00,3.38,degraded,0,1,passed,0
2026-04-17T02:11:37.955323+00:00,3.1,degraded,0,1,passed,0
2026-04-17T02:16:38.151759+00:00,3.33,degraded,0,1,passed,0
2026-04-17T02:21:38.365498+00:00,3.56,degraded,0,1,passed,0
2026-04-17T02:26:38.576909+00:00,3.24,degraded,0,1,passed,0
2026-04-17T02:31:38.777903+00:00,3.2,degraded,0,1,passed,0
2026-04-17T02:36:38.990940+00:00,3.32,degraded,0,1,passed,0
2026-04-17T02:41:39.197039+00:00,3.32,degraded,0,1,passed,0
2026-04-17T02:46:39.386303+00:00,3.22,degraded,0,1,passed,0
2026-04-17T02:51:39.599711+00:00,3.27,degraded,0,1,passed,0
2026-04-17T02:56:39.792953+00:00,3.32,degraded,0,1,passed,0
2026-04-17T03:01:40.006053+00:00,3.16,degraded,0,1,passed,0
2026-04-17T03:06:40.218121+00:00,3.37,degraded,0,1,passed,0
2026-04-17T03:11:40.429059+00:00,3.12,degraded,0,1,passed,0
2026-04-17T03:16:40.634492+00:00,3.29,degraded,0,1,passed,0
2026-04-17T03:21:40.844704+00:00,3.27,degraded,0,1,passed,0
2026-04-17T03:26:41.053865+00:00,3.28,degraded,0,1,passed,0
2026-04-17T03:31:41.258794+00:00,3.2,degraded,0,1,passed,0
2026-04-17T03:36:41.468634+00:00,3.35,degraded,0,1,passed,0
2026-04-17T03:41:41.677633+00:00,3.3,degraded,0,1,passed,0
2026-04-17T03:46:41.882960+00:00,3.13,degraded,0,1,passed,0
2026-04-17T03:51:42.095824+00:00,3.17,degraded,0,1,passed,0
2026-04-17T03:56:42.308536+00:00,3.15,degraded,0,1,passed,0
2026-04-17T04:01:42.517813+00:00,3.12,degraded,0,1,passed,0
2026-04-17T04:06:42.727916+00:00,3.24,degraded,0,1,passed,0
2026-04-17T04:11:42.928045+00:00,3.34,degraded,0,1,passed,0
2026-04-17T04:16:43.138168+00:00,3.36,degraded,0,1,passed,0
2026-04-17T04:21:43.316694+00:00,3.24,degraded,0,1,passed,0
2026-04-17T04:26:43.525560+00:00,3.39,degraded,0,1,passed,0
2026-04-17T04:31:43.735461+00:00,3.46,degraded,0,1,passed,0
2026-04-17T04:36:43.944278+00:00,3.0,degraded,0,1,passed,0
2026-04-17T04:41:44.152428+00:00,3.26,degraded,0,1,passed,0
2026-04-17T04:46:44.347411+00:00,3.22,degraded,0,1,passed,0
2026-04-17T04:51:44.556444+00:00,3.09,degraded,0,1,passed,0
2026-04-17T04:56:44.765012+00:00,3.07,degraded,0,1,passed,0
2026-04-17T05:01:44.973067+00:00,3.52,degraded,0,1,passed,0
2026-04-17T05:06:45.185781+00:00,3.17,degraded,0,1,passed,0
2026-04-17T05:11:45.397148+00:00,3.18,degraded,0,1,passed,0
2026-04-17T05:16:45.603002+00:00,3.26,degraded,0,1,passed,0
2026-04-17T05:21:45.814113+00:00,3.01,degraded,0,1,passed,0
2026-04-17T05:26:46.025469+00:00,3.35,degraded,0,1,passed,0
