hour,samples,avg_latency_ms,min_latency_ms,max_latency_ms,total_signals,total_blocked,order_count,auth_degraded_count,auth_ok_count,auth_ok_ratio
1,12,3.46,3.01,6.52,0,12,0,0,12,100.0
2,12,3.28,3.01,3.57,0,12,0,0,12,100.0
